"Iteration","Statistics Report 1 Monitor: Statistics Report 1 Monitor"
217.0,0.749415537471497
218.0,0.7482344101468191
219.0,0.7470625770585476
220.0,0.7458995903778574
221.0,0.7447450348183335
222.0,0.7435991353765674
223.0,0.742461127120497
224.0,0.7413305395498917
225.0,0.7402065244473277
226.0,0.7390891801685497
227.0,0.7379784828094423
228.0,0.7368739891911088
229.0,0.7357758023822591
230.0,0.7346842915726463
231.0,0.7335995770921446
232.0,0.7325220904157379
233.0,0.7314516418464387
234.0,0.7303881428438488
235.0,0.7293314644397779
236.0,0.7282809168517718
237.0,0.7272350816615726
238.0,0.726193200211169
239.0,0.7251546275883922
240.0,0.7241188134109182
241.0,0.72308644286149
242.0,0.7220576100647674
243.0,0.7210329253213181
244.0,0.7200134609569391
245.0,0.7190004859524168
246.0,0.717994721335339
247.0,0.716997163547505
